시도,시군구,자격별,성별,연령구분,신청자,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외A,등급외B,등급외C
서울,용산구,기초,여자,80-84세,66 ,1 ,4 ,11 ,26 ,5 ,1 ,8 ,3 ,0 
서울,용산구,기초,여자,85세이상,127 ,4 ,8 ,26 ,53 ,8 ,0 ,6 ,4 ,3 
서울,용산구,의료,남자,65세미만,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
서울,용산구,의료,남자,65-69세,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
서울,용산구,의료,남자,70-74세,2 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
서울,용산구,의료,남자,75-79세,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
서울,용산구,의료,남자,85세이상,2 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
서울,용산구,의료,여자,65세미만,1 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
서울,용산구,의료,여자,70-74세,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
서울,용산구,의료,여자,75-79세,2 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
서울,용산구,의료,여자,80-84세,3 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
서울,용산구,의료,여자,85세이상,7 ,0 ,1 ,1 ,3 ,1 ,0 ,0 ,0 ,0 
서울,용산구,감경,남자,65세미만,3 ,0 ,0 ,1 ,0 ,2 ,0 ,0 ,0 ,0 
서울,용산구,감경,남자,65-69세,19 ,0 ,2 ,4 ,9 ,3 ,0 ,0 ,0 ,0 
서울,용산구,감경,남자,70-74세,20 ,1 ,2 ,11 ,4 ,0 ,1 ,0 ,0 ,0 
서울,용산구,감경,남자,75-79세,25 ,2 ,2 ,9 ,9 ,3 ,0 ,0 ,0 ,0 
서울,용산구,감경,남자,80-84세,49 ,1 ,5 ,16 ,21 ,4 ,0 ,0 ,0 ,0 
서울,용산구,감경,남자,85세이상,47 ,3 ,6 ,14 ,15 ,8 ,0 ,0 ,0 ,0 
서울,용산구,감경,여자,65세미만,4 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
서울,용산구,감경,여자,65-69세,12 ,0 ,1 ,2 ,7 ,1 ,0 ,1 ,0 ,0 
서울,용산구,감경,여자,70-74세,16 ,0 ,0 ,5 ,5 ,2 ,1 ,1 ,0 ,0 
서울,용산구,감경,여자,75-79세,74 ,1 ,8 ,17 ,38 ,4 ,4 ,0 ,0 ,0 
서울,용산구,감경,여자,80-84세,132 ,5 ,16 ,41 ,55 ,8 ,0 ,1 ,1 ,0 
서울,용산구,감경,여자,85세이상,234 ,15 ,36 ,64 ,102 ,7 ,0 ,1 ,1 ,0 
서울,성동구,일반,남자,65세미만,33 ,4 ,2 ,1 ,8 ,0 ,0 ,12 ,1 ,0 
서울,성동구,일반,남자,65-69세,81 ,3 ,2 ,14 ,24 ,1 ,2 ,8 ,8 ,3 
서울,성동구,일반,남자,70-74세,113 ,3 ,8 ,27 ,29 ,5 ,0 ,11 ,2 ,6 
서울,성동구,일반,남자,75-79세,186 ,13 ,8 ,31 ,50 ,19 ,5 ,14 ,8 ,3 
서울,성동구,일반,남자,80-84세,287 ,12 ,18 ,42 ,86 ,42 ,7 ,11 ,15 ,7 
서울,성동구,일반,남자,85세이상,303 ,13 ,17 ,54 ,107 ,33 ,13 ,10 ,14 ,3 
서울,성동구,일반,여자,65세미만,39 ,4 ,3 ,1 ,4 ,5 ,0 ,6 ,4 ,5 
서울,성동구,일반,여자,65-69세,104 ,11 ,5 ,13 ,11 ,5 ,3 ,17 ,3 ,5 
서울,성동구,일반,여자,70-74세,214 ,10 ,14 ,18 ,33 ,12 ,6 ,34 ,12 ,8 
서울,성동구,일반,여자,75-79세,408 ,10 ,18 ,46 ,108 ,30 ,8 ,47 ,37 ,10 
서울,성동구,일반,여자,80-84세,664 ,19 ,36 ,108 ,198 ,93 ,13 ,49 ,21 ,12 
서울,성동구,일반,여자,85세이상,824 ,41 ,58 ,195 ,273 ,85 ,14 ,42 ,20 ,11 
서울,성동구,기초,남자,65세미만,31 ,3 ,1 ,4 ,9 ,2 ,1 ,4 ,4 ,1 
서울,성동구,기초,남자,65-69세,39 ,2 ,1 ,5 ,10 ,1 ,2 ,9 ,0 ,2 
서울,성동구,기초,남자,70-74세,40 ,1 ,4 ,5 ,6 ,4 ,2 ,5 ,2 ,2 
